ID,habit,Dmax,M,alpha,kappa,slope,beta,zeta1
1,1,0.0003,0,0.7187,0.0739,3.6987,3.4187,0.0921
2,1,0.0005,0,0.6581,0.1209,3.6933,5.292,0.0746
3,1,0.0007,0,0.5955,0.1568,3.9405,11.8992,0.0416
4,1,0.0009,0,0.5898,0.1844,4.0143,18.6518,0.0256
5,1,0.0011,0,0.5714,0.201,4.0189,23.6588,0.0189
6,1,0.0013,0,0.5358,0.2342,3.8949,18.8434,0.0189
7,1,0.0015,0,0.4958,0.2121,3.8684,17.057,0.0201
8,1,0.0017,0,0.5401,0.1899,3.7101,19.5869,0.0191
9,2,0.0003,0,0.671,0.1015,3.8735,9.755,0.067
10,2,0.0005,0,0.6083,0.1457,3.9287,15.259,0.0415
11,2,0.0007,0,0.5928,0.1789,3.984,26.6382,0.0247
12,2,0.0009,0,0.5712,0.2038,3.7727,22.2662,0.0222
13,2,0.0011,0,0.5292,0.2148,3.7835,25.5284,0.0186
14,2,0.0013,0,0.5171,0.2204,3.4417,15.6728,0.0218
15,2,0.0015,0,0.4935,0.2286,3.4865,16.5652,0.0215
16,2,0.0017,0,0.4983,0.2397,3.2243,10.9423,0.022
17,2,0.0021,0,0.575,0.1678,2.3207,1.7158,0.0889
18,2,0.0027,0,0.5903,0.1899,2.0319,0.91,0.1305
19,3,0.0003,0,0.6746,0.0877,3.7113,10.3809,0.0341
20,3,0.0005,0,0.6348,0.1734,3.1002,4.2925,0.0505
21,3,0.0007,0,0.6256,0.1872,2.6451,2.3278,0.0772
22,3,0.0009,0,0.5924,0.1927,2.4574,1.5859,0.0833
23,3,0.0011,0,0.5644,0.2093,2.5334,2.1928,0.0567
24,3,0.0013,0,0.5443,0.2342,2.5492,2.2592,0.0539
25,3,0.0015,0,0.5513,0.2452,2.2737,1.2061,0.0818
26,3,0.0017,0,0.5723,0.2176,2.4674,2.4985,0.0684
27,3,0.0019,0,0.5578,0.2259,2.3144,1.2904,0.0814
28,3,0.0021,0,0.5922,0.2673,2.2298,2.1756,0.0545
29,3,0.0023,0,0.5915,0.2342,2.2256,1.3523,0.075
30,3,0.0029,0,0.5898,0.2369,2.4747,2.5011,0.0477
31,4,0.0003,0,0.6803,0.0711,3.6843,6.4898,0.0521
32,4,0.0005,0,0.6349,0.0711,3.2563,5.4689,0.0518
33,4,0.0007,0,0.6387,0.1098,3.0977,4.4071,0.0616
34,4,0.0009,0,0.6215,0.1236,2.8316,2.8593,0.0804
35,4,0.0011,0,0.5762,0.1706,2.888,3.1212,0.0584
36,4,0.0013,0,0.5503,0.1872,2.6884,2.1752,0.0753
37,4,0.0015,0,0.5304,0.1955,2.5865,1.6437,0.0779
38,4,0.0017,0,0.5245,0.2121,2.7666,2.3885,0.0634
39,5,0.0003,0,0.702,0.1015,3.9428,16.017,0.0214
40,5,0.0005,0,0.6726,0.1457,3.5594,8.7733,0.021
41,5,0.0007,0,0.6594,0.1595,3.2576,6.1877,0.0285
42,5,0.0009,0,0.6262,0.1927,3.1264,4.9672,0.0253
43,5,0.0011,0,0.6065,0.1955,2.9766,4.3034,0.0312
44,5,0.0013,0,0.5859,0.1955,2.7633,2.6066,0.0464
45,5,0.0015,0,0.5412,0.2065,2.5954,1.7393,0.0503
46,5,0.0017,0,0.5341,0.1982,2.5378,1.6486,0.0575
47,1,0.0005,0.0129,0.6445,0.1595,3.7647,5.3511,0.0643
48,1,0.0007,0.0129,0.5867,0.2038,3.7888,6.5578,0.0436
49,1,0.0009,0.0129,0.59,0.2093,3.8948,11.7393,0.0287
50,1,0.0011,0.0129,0.569,0.2286,3.9183,15.8026,0.0222
51,1,0.0013,0.0129,0.5136,0.2397,3.7625,10.1065,0.0257
52,1,0.0015,0.0129,0.4516,0.259,3.7525,8.4007,0.0273
53,1,0.0017,0.0129,0.4722,0.2535,4.0811,21.1138,0.0233
54,1,0.0019,0.0129,0.4742,0.3005,3.8722,13.4279,0.0158
55,1,0.0023,0.0129,0.6042,0.1651,2.9525,4.3081,0.0472
56,1,0.0025,0.0129,0.637,0.1927,2.7919,2.8438,0.0602
57,1,0.0027,0.0129,0.5825,0.2397,2.8587,3.313,0.036
58,1,0.0029,0.0129,0.584,0.1651,2.4897,1.5187,0.0534
59,1,0.0031,0.0129,0.6074,0.1899,2.5958,2.2732,0.0401
60,1,0.0033,0.0129,0.5563,0.2618,3.0672,6.0636,0.0255
61,1,0.0035,0.0129,0.6233,0.1899,2.3032,1.0012,0.0774
62,1,0.0037,0.0129,0.5379,0.2369,2.6319,1.9577,0.0643
63,1,0.0039,0.0129,0.549,0.2259,2.7095,2.0775,0.0427
64,1,0.0041,0.0129,0.5701,0.2618,2.4382,1.469,0.0562
65,1,0.0043,0.0129,0.5828,0.1817,2.4622,1.696,0.0853
66,1,0.0045,0.0129,0.4621,0.143,3.2501,6.5969,0.0436
67,1,0.0047,0.0129,0.5916,0.1844,1.7956,0.2472,0.212
68,1,0.0049,0.0129,0.5644,0.2038,2.9228,5.1476,0.0467
69,1,0.0055,0.0129,0.5813,0.2093,2.3001,1.2581,0.0324
70,1,0.0061,0.0129,0.4954,0.1623,2.4336,1.0121,0.0826
71,1,0.0073,0.0129,0.6453,0.1568,2.2509,0.8586,0.2037
72,2,0.0003,0.0129,0.6483,0.1678,3.8418,7.9785,0.0501
73,2,0.0005,0.0129,0.6063,0.2121,3.9321,13.432,0.0359
74,2,0.0007,0.0129,0.5871,0.2369,3.8835,17.7631,0.0223
75,2,0.0009,0.0129,0.5627,0.2342,3.7618,15.8,0.0229
76,2,0.0011,0.0129,0.5387,0.2286,3.764,20.0802,0.0194
77,2,0.0013,0.0129,0.5018,0.2646,3.2886,7.9493,0.0293
78,2,0.0015,0.0129,0.4296,0.3143,3.4718,8.7981,0.0215
79,2,0.0017,0.0129,0.4958,0.2894,3.8719,39.4315,0.0063
80,2,0.0019,0.0129,0.5164,0.1264,2.9905,4.9191,0.065
81,2,0.0021,0.0129,0.5674,0.1706,2.7121,3.5048,0.0552
82,2,0.0023,0.0129,0.6008,0.2231,2.7144,3.7628,0.0511
83,2,0.0025,0.0129,0.5794,0.2342,2.6491,3.0315,0.0591
84,2,0.0027,0.0129,0.5756,0.2038,2.5002,2.0037,0.0807
85,2,0.0029,0.0129,0.5804,0.1872,2.3686,1.3473,0.1013
86,2,0.0031,0.0129,0.5695,0.1761,2.351,1.3316,0.1056
87,2,0.0033,0.0129,0.5883,0.201,2.6614,2.8614,0.0368
88,2,0.0035,0.0129,0.5413,0.1872,2.5819,2.0003,0.0594
89,2,0.0037,0.0129,0.56,0.201,1.9877,0.4965,0.0603
90,2,0.0039,0.0129,0.5644,0.2286,2.2995,1.1664,0.0493
91,2,0.0041,0.0129,0.4794,0.2508,2.4334,0.9359,0.0796
92,2,0.0043,0.0129,0.5562,0.1872,2.4662,2.0738,0.0778
93,2,0.0045,0.0129,0.4631,0.1236,2.665,2.2289,0.1503
94,2,0.0055,0.0129,0.4987,0.2369,1.9964,0.4101,0.0629
95,2,0.0061,0.0129,0.644,0.2452,1.7819,0.4072,0.0453
96,2,0.0063,0.0129,0.5265,0.1817,1.9973,0.4455,0.1529
97,2,0.0065,0.0129,0.5269,0.1485,2.0449,0.634,0.1545
98,2,0.0067,0.0129,0.5054,0.1872,2.3643,1.0885,0.0756
99,2,0.0071,0.0129,0.6184,0.2204,2.6696,3.8149,0.0389
100,3,0.0005,0.0129,0.648,0.201,3.0438,3.2627,0.0493
101,3,0.0007,0.0129,0.6374,0.2121,2.5861,1.4212,0.0799
102,3,0.0009,0.0129,0.5958,0.2038,2.4004,1.0709,0.0972
103,3,0.0011,0.0129,0.5792,0.2148,2.613,2.1082,0.0536
104,3,0.0013,0.0129,0.5359,0.2452,2.5455,1.4161,0.0656
105,3,0.0015,0.0129,0.5144,0.2673,2.7287,2.8089,0.0325
106,3,0.0017,0.0129,0.4511,0.2563,2.9127,2.2955,0.0344
107,3,0.0019,0.0129,0.5082,0.2369,2.7217,3.3044,0.0421
108,3,0.0021,0.0129,0.5711,0.2397,2.7554,4.3574,0.0292
109,3,0.0023,0.0129,0.587,0.2176,2.3572,1.5465,0.0809
110,3,0.0025,0.0129,0.5662,0.2038,2.4571,1.2854,0.0766
111,3,0.0027,0.0129,0.5816,0.2204,2.6821,2.6547,0.0547
112,3,0.0029,0.0129,0.5839,0.2176,2.7284,3.8909,0.039
113,3,0.0031,0.0129,0.5864,0.154,2.4845,1.5344,0.0792
114,3,0.0035,0.0129,0.5653,0.1817,2.173,0.809,0.0608
115,3,0.0037,0.0129,0.6055,0.1955,2.3309,1.0994,0.0926
116,3,0.0039,0.0129,0.5931,0.2231,2.7687,2.7826,0.063
117,3,0.0041,0.0129,0.5477,0.1734,2.4452,1.5748,0.0774
118,3,0.0069,0.0129,0.627,0.2369,2.3774,0.9167,0.1489
119,4,0.0003,0.0129,0.7126,0.107,3.6046,4.8006,0.0373
